en effet,as a matter of fact
prendre conscience de,to become aware of
une tentative,an attempt
licencier,to fire
embocher,to hire
citer,to quote
une citation,a quotation
faire confiance (à qqn),to trust
beaucoup,a great deal
voyage,a trip
voyager,to travel
chair de poule,flesh creep
s'endormir,to fall asleep
pub,ad
faire partie,to take part
bien que,although
douter,to doubt
entendre parler de,to hear of
se demander,to wonder
couloir,hall
un bagage,a peace of luggage
attirer son attention,to catch his attention
bâtiment,building
un verger,an orchard
marbre,marble
être entouré,to be surrounded by
une tenue,an outfit
un habit indien,a sari
un voile,a veil
une tunique,a tunic
une écharpe,a scarf
un moyen,means
mesures (politiques),measures
annoncer,to announce
une moyenne,an average
pratique,convenient
se moquer de,to make fun of
abbatu,dejected
abbatu 2,downcast
reprocher,to reproach someone for Vbing
"imprévu, inattendu",unexpected
ivre,tipsy
à l'improviste,unexpectedly
surnaturel,unearthly
amertume,bitterness
sans...,without
adieu,farewell
qui a fait des études,educated
érudit,cultivated
qui a réussi,successful
réaliste,realistic
indulgent,"lenient, flexible"
rester sur son avis,tto stick to one's guns
ouvert d'esprit,open-minded
pensif,thoughtful
têtu,stubborn
intransigeant,uncompromising
prudent,cautious
choqué,shocked
grossier,rude
les enjeux sont élevés,the stakes are high
dire ce que l'on pense,to speak one's mind
d'un autre côté,on the other hand
d'un côté (...je pense),on one hand
le gaz,the gas
(les) affaires (indénombrable),business
dégâts (ind),damage
croissance (ind),growth
preuves (ind),evidence
des ennuis,trouble
le savoir,knowledge
s'amuser,to enjoy oneself
sourire,to grin
un mur de briques,a brick wall
attacher,to tie
un adolescent,a teenage
pull,sweater
plutôt,rather
content,"delighted, thrilled, glad"
intégré,"assimilated, integrated"
les bas,stockings
décent,decent
hurler,to scream
logement (ind),accomodation
un survêtement,a track suit
un débardeur 2,a mini skirt
bras nus,bare arms
un débardeur,a tank top
attendre de quelqu'un qu'il,to expect someone to
considérer,to consider
révoltant,outrageous
scandaleux,scandalous
racines,roots
se disputer,to argue
either,non plus
une graine,a seed
une feuille (d'arbre),a leaf
gêné,embarrassed
chaussures de sport,trainers
à l'aube,at dawn
se lever,to get up
"à temps, à l'heure",in time
le chauffeur,the driver
honteux,ashamed
émancipé,liberated
de nos jours,nowadays
environ,about
surmonter,to overcome
étonné,"amazed, astonished"
silencieux,quiet
avoir un étourdissement,to feel giddy
timide,shy
calme,calm
posé,self-composed
respectueux,respectful
obéissant,obedient
indécis,doubtful
une tension,a strain
prendre ses opinions en compte,to take his opinions into account
si (oui ou non),whether
si (hypothétique),if
continuer de,to keep Vbing
répondre,to reply
convenable,right
et pourtant,and yet
ça ne servait à rien de,there was no point in
contacter (qqn),to approach
arranger les choses,to sort things out
faire semblant,to pretend
un voleur,a thief
des voleurs,th
voleurs,thieves
quel dommage,what a pity
espérer,to hope
convenir,to suit someone
faire la navette,to commute
suggérer,to whisper
sembler,to seem
fairly,plutôt
étouffant,stifling
rude,harsh
épuisant,tiring
autoritaire,bossy
stressant,strained
mettre son nez dans,to pry into
possessif,possessive
être aux antipodes de,to be worlds a part from
compatissant,sympathetic
oser,to dare
